Title,Blog Link,Search,Keywords,Published Before,Published After,Order by - Oldest,Order by - Newest,Order by - Relevance,Page,Page Increment,Results,Date,Updated,Number,Format,Search Link
Crown Prosecution Service,http://www.cps.gov.uk/,search,keys,None,created,None,None,None,page 0,1,"div search-list
a None",None,None,div results--summary 4,+,None
National Crime Agency,http://www.nationalcrimeagency.gov.uk/,component/finder/search,q,None,None,None,None,None,start 100,100,"ol search-results
a None",None,None,div search-pages-counter -1,+,None
Office of Rail and Road,http://www.orr.gov.uk/,search,search_api_fulltext,None,None,None,None,None,page 0,1,"div views-infinite-scroll-content-wrapper clearfix
a None",span orr-published-date,None,div search-results-count 2,+,None
Advisory Committee on Animal Feedingstuffs,https://acaf.food.gov.uk/,search/committee,search-text,None,None,None,None,None,page 0,1,"div search-page__results
a None",div search-result__date,None,div search-page__header-count -1,+,None
Advisory Committee on Novel Foods and Processes,https://acnfp.food.gov.uk/,search/committee,search-text,None,None,None,None,None,page 0,2,"div search-page__results
a None",div search-result__date,None,div search-page__header-count -2,+,None
Advisory Committee on the Microbiological Safety of Food,https://acmsf.food.gov.uk/,search/committee,search-text,None,None,None,None,None,page 0,3,"div search-page__results
a None",div search-result__date,None,div search-page__header-count -3,+,None
The Advisory Council on National Records and Archives,http://www.nationalarchives.gov.uk/,search/results/1,_q,None,None,None,None,None,AFTER result/,1,"ul searchList
a None",None,None,div heading-holding-banner -2,+,None
"Advisory, Conciliation and Arbitration Service",http://www.acas.org.uk/,search,keys,None,None,None,None,None,page 0,1,"div view-content
a None",None,None,div view-header 0,+,None
Agri-Food and Biosciences Institute (Northern Ireland),http://www.afbini.gov.uk/,search,query,None,None,None,None,None,page 0,1,"div panel-pane pane-views-row
a None",None,None,div current-search-item current-search-item-text current-search-item-results-count 0,+,None
Armed Forces Covenant Fund Trust,https://www.covenantfund.org.uk/,page/1/,s,None,None,None,None,None,AFTER page/,1,"div articles
a None",None,None,MANUAL,+,None
Arts Council England,http://www.artscouncil.org.uk/,search,query,None,None,None,None,None,page 0,1,"div search-results
a None",None,None,div u-text-right 3,+,None
Arts Council of Northern Ireland,http://www.artscouncil-ni.org/,search,q,None,None,None,None,None,page 1,,"section fullPage
a None",None,None,MANUAL,+,None
Arts Council of Wales,https://arts.wales/,search/nodes,keys,None,None,None,None,None,page 0,1,,None,None,MANUAL,+,None
Boundary Commission for England,https://boundarycommissionforengland.independent.gov.uk/,page/0/,s,None,None,None,None,None,AFTER page/,1,,None,None,MANUAL,+,
Boundary Commission for Northern Ireland,http://www.boundarycommission.org.uk/,,,,,,,,,,,,,,,
Boundary Commission for Scotland,http://www.bcomm-scotland.independent.gov.uk/,,,,,,,,,,,,,,,
Boundary Commission for Wales,http://bcomm-wales.gov.uk/,,,,,,,,,,,,,,,
British Business Bank,http://british-business-bank.co.uk/,,,,,,,,,,,,,,,
British Council,http://www.britishcouncil.org/,,,,,,,,,,,,,,,
British Film Institute,http://www.bfi.org.uk/,,,,,,,,,,,,,,,
British Library,http://www.bl.uk/,,,,,,,,,,,,,,,
British Museum,http://www.britishmuseum.org/,,,,,,,,,,,,,,,
British Pharmacopoeia Commission,http://pharmacopoeia.com/,,,,,,,,,,,,,,,
British Transport Police Authority,http://btpa.police.uk/,,,,,,,,,,,,,,,
British Wool,https://www.britishwool.org.uk/,,,,,,,,,,,,,,,
Broads Authority,http://www.broads-authority.gov.uk/,,,,,,,,,,,,,,,
Cafcass,http://www.cafcass.gov.uk/,,,,,,,,,,,,,,,
Care Quality Commission,http://www.cqc.org.uk/,,,,,,,,,,,,,,,
Careers Wales,http://www.careerswales.com/,,,,,,,,,,,,,,,
Chevening Scholarship Programme,http://www.chevening.org/,,,,,,,,,,,,,,,
Churches Conservation Trust,https://www.visitchurches.org.uk/,,,,,,,,,,,,,,,
Civil Justice Council,https://www.judiciary.uk/,,,,,,,,,,,,,,,
Civil Service Commission,http://civilservicecommission.independent.gov.uk/,,,,,,,,,,,,,,,
College of Policing,http://www.college.police.uk/,,,,,,,,,,,,,,,
Commissioner for Public Appointments,http://publicappointmentscommissioner.independent.gov.uk/,,,,,,,,,,,,,,,
Committee on Climate Change,http://www.theccc.org.uk/,,,,,,,,,,,,,,,
"Committee on Toxicity of Chemicals in Food, Consumer Products and the Environment",http://www.food.gov.uk/,,,,,,,,,,,,,,,
Competition Appeal Tribunal,http://www.catribunal.org.uk/,,,,,,,,,,,,,,,
Competition Service,https://www.catribunal.org.uk/,,,,,,,,,,,,,,,
Construction Industry Training Board,http://www.citb.co.uk/,,,,,,,,,,,,,,,
Consumer Council for Water,https://www.ccw.org.uk/,,,,,,,,,,,,,,,
Covent Garden Market Authority,http://www.newcoventgardenmarket.com/,,,,,,,,,,,,,,,
Criminal Cases Review Commission,http://www.ccrc.gov.uk/,,,,,,,,,,,,,,,
The Crown Estate,http://www.thecrownestate.co.uk/,,,,,,,,,,,,,,,
Dartmoor National Park Authority,https://www.dartmoor.gov.uk/,,,,,,,,,,,,,,,
Defence and Security Media Advisory Committee,http://www.dsma.uk/,,,,,,,,,,,,,,,
Department for Communities (Northern Ireland),https://www.communities-ni.gov.uk/,,,,,,,,,,,,,,,
Department for Infrastructure (Northern Ireland),https://www.infrastructure-ni.gov.uk/,,,,,,,,,,,,,,,
Department for the Economy (Northern Ireland),https://www.economy-ni.gov.uk/,,,,,,,,,,,,,,,
"Department of Agriculture, Environment and Rural Affairs (Northern Ireland)",https://www.daera-ni.gov.uk/,,,,,,,,,,,,,,,
Department of Education (Northern Ireland),https://www.education-ni.gov.uk/,,,,,,,,,,,,,,,
Department of Finance (Northern Ireland),https://www.finance-ni.gov.uk/,,,,,,,,,,,,,,,
Department of Health (Northern Ireland),https://www.health-ni.gov.uk/,,,,,,,,,,,,,,,
Department of Justice (Northern Ireland),https://www.justice-ni.gov.uk/,,,,,,,,,,,,,,,
Directly Operated Railways Limited,http://webarchive.nationalarchives.gov.uk/,,,,,,,,,,,,,,,
East West Railway Company Limited,https://eastwestrail.co.uk/,,,,,,,,,,,,,,,
Ebbsfleet Development Corporation,http://ebbsfleetdc.org.uk/,,,,,,,,,,,,,,,
Economic and Social Research Council,http://www.esrc.ac.uk/,,,,,,,,,,,,,,,
The Electoral Commission,http://www.electoralcommission.org.uk/,,,,,,,,,,,,,,,
Electricity Settlements Company,https://www.lowcarboncontracts.uk/,,,,,,,,,,,,,,,
Engineering Construction Industry Training Board,http://www.ecitb.org.uk/,,,,,,,,,,,,,,,
Engineering and Physical Sciences Research Council,http://www.epsrc.ac.uk/,,,,,,,,,,,,,,,
English Institute of Sport,http://www.eis2win.co.uk/,,,,,,,,,,,,,,,
Equality and Human Rights Commission,http://www.equalityhumanrights.com/,,,,,,,,,,,,,,,
Estyn,http://www.estyn.gov.uk/,,,,,,,,,,,,,,,
The Executive Office (Northern Ireland),https://www.executiveoffice-ni.gov.uk/,,,,,,,,,,,,,,,
Exmoor National Park Authority,http://www.exmoor-nationalpark.gov.uk/,,,,,,,,,,,,,,,
FCDO Services,https://www.fcdoservices.gov.uk/,,,,,,,,,,,,,,,
Family Justice Council,https://www.judiciary.uk/,,,,,,,,,,,,,,,
Financial Conduct Authority,https://www.fca.org.uk/,,,,,,,,,,,,,,,
Financial Reporting Council,https://www.frc.org.uk/,,,,,,,,,,,,,,,
Fire Service College,http://www.fireservicecollege.ac.uk/,,,,,,,,,,,,,,,
Flood Re,https://www.floodre.co.uk/,,,,,,,,,,,,,,,
Forest Research,https://www.forestresearch.gov.uk/,,,,,,,,,,,,,,,
Forestry England,https://www.forestryengland.uk/,,,,,,,,,,,,,,,
Gambling Commission,http://www.gamblingcommission.gov.uk/,,,,,,,,,,,,,,,
Gangmasters and Labour Abuse Authority,http://www.gla.gov.uk/,,,,,,,,,,,,,,,
Government Communications Headquarters,http://www.gchq.gov.uk/,,,,,,,,,,,,,,,
Great Britain-China Centre,http://www.gbcc.org.uk/,,,,,,,,,,,,,,,
HM Crown Prosecution Service Inspectorate,http://www.justiceinspectorates.gov.uk/,,,,,,,,,,,,,,,
HM Government Communications Centre,http://www.hmgcc.gov.uk/,,,,,,,,,,,,,,,
HM Inspectorate of Constabulary and Fire & Rescue Services,https://www.justiceinspectorates.gov.uk/,,,,,,,,,,,,,,,
HM Inspectorate of Prisons,http://www.justice.gov.uk/,,,,,,,,,,,,,,,
HM Inspectorate of Probation,http://www.justice.gov.uk/,,,,,,,,,,,,,,,
HSC Business Services Organisation (Northern Ireland),http://www.hscbusiness.hscni.net/,,,,,,,,,,,,,,,
Health Research Authority,http://www.hra.nhs.uk/,,,,,,,,,,,,,,,
Health Services Safety Investigations Body,https://www.hssib.org.uk/,,,,,,,,,,,,,,,
Health and Safety Executive,http://www.hse.gov.uk/,,,,,,,,,,,,,,,
Higher Education Statistics Agency,https://www.hesa.ac.uk/,,,,,,,,,,,,,,,
Historic England,http://www.historicengland.org.uk/,,,,,,,,,,,,,,,
Horniman Public Museum and Public Park Trust,http://www.horniman.ac.uk/,,,,,,,,,,,,,,,
Horserace Betting Levy Board,http://www.hblb.org.uk/,,,,,,,,,,,,,,,
House of Lords Appointments Commission,http://lordsappointments.independent.gov.uk/,,,,,,,,,,,,,,,
Housing Ombudsman,http://www.housing-ombudsman.org.uk/,,,,,,,,,,,,,,,
Human Fertilisation and Embryology Authority,http://www.hfea.gov.uk/,,,,,,,,,,,,,,,
Human Tissue Authority,http://www.hta.gov.uk/,,,,,,,,,,,,,,,
Imperial War Museum,http://www.iwm.org.uk/,,,,,,,,,,,,,,,
Independent Advisory Panel on Deaths in Custody,http://www.iapondeathsincustody.org/,,,,,,,,,,,,,,,
Independent Anti-slavery Commissioner,http://www.antislaverycommissioner.co.uk/,,,,,,,,,,,,,,,
Independent Commission for Aid Impact,http://icai.independent.gov.uk/,,,,,,,,,,,,,,,
The Independent Commission for Reconciliation and Information Recovery,https://icrir.independent-inquiry.uk/,,,,,,,,,,,,,,,
Independent Complaints Reviewer,http://www.icrev.org.uk/,,,,,,,,,,,,,,,
Independent Monitoring Authority for the Citizens’ Rights Agreements,https://ima-citizensrights.org.uk/,,,,,,,,,,,,,,,
Independent Monitoring Boards,http://www.imb.org.uk/,,,,,,,,,,,,,,,
